# Transcript IDs from the BED file provided by Birmingham, annotated with information
# from MANE.GRCh38.v1.5.summary.txt.gz
# (https://ftp.ncbi.nlm.nih.gov/refseq/MANE/MANE_human/release_1.5/)
#
# This analysis was suggested by the team to determine how many TSO500 transcripts
# correspond to MANE Select or MANE Plus Clinical transcripts.

TSO500_transcripts	#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
NM_003072.5	GeneID:6597	ENSG00000127616.24	HGNC:11100	SMARCA4	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4	NM_003072.5	NP_003063.2	ENST00000344626.10	ENSP00000343896.4	MANE Select	NC_000019.10	10961030	11062273	+
NM_003073.5	GeneID:6598	ENSG00000099956.22	HGNC:11103	SMARCB1	SWI/SNF related BAF chromatin remodeling complex subunit B1	NM_003073.5	NP_003064.2	ENST00000644036.2	ENSP00000494049.2	MANE Select	NC_000022.11	23786966	23838009	+
NM_003076.5	GeneID:6602	ENSG00000066117.17	HGNC:11106	SMARCD1	SWI/SNF related BAF chromatin remodeling complex subunit D1	NM_003076.5	NP_003067.3	ENST00000394963.9	ENSP00000378414.4	MANE Select	NC_000012.12	50085342	50100707	+
NM_003106.4	GeneID:6657	ENSG00000181449.4	HGNC:11195	SOX2	SRY-box transcription factor 2	NM_003106.4	NP_003097.1	ENST00000325404.3	ENSP00000323588.1	MANE Select	NC_000003.12	181711925	181714436	+
NM_003126.4	GeneID:6708	ENSG00000163554.15	HGNC:11272	SPTA1	"spectrin alpha, erythrocytic 1"	NM_003126.4	NP_003117.2	ENST00000643759.2	ENSP00000495214.1	MANE Select	NC_000001.11	158610704	158686715	-
NM_003151.4	GeneID:6775	ENSG00000138378.22	HGNC:11365	STAT4	signal transducer and activator of transcription 4	NM_003151.4	NP_003142.1	ENST00000392320.7	ENSP00000376134.2	MANE Select	NC_000002.12	191029576	191150994	-
NM_003161.4	GeneID:6198	ENSG00000108443.16	HGNC:10436	RPS6KB1	ribosomal protein S6 kinase B1	NM_003161.4	NP_003152.1	ENST00000225577.9	ENSP00000225577.4	MANE Select	NC_000017.11	59893121	59950574	+
NM_003177.7	GeneID:6850	ENSG00000165025.17	HGNC:11491	SYK	spleen associated tyrosine kinase	NM_003177.7	NP_003168.2	ENST00000375754.9	ENSP00000364907.4	MANE Select	NC_000009.12	90801819	90898549	+
NM_003242.6	GeneID:7048	ENSG00000163513.22	HGNC:11773	TGFBR2	transforming growth factor beta receptor 2	NM_003242.6	NP_003233.4	ENST00000295754.10	ENSP00000295754.5	MANE Select	NC_000003.12	30606601	30694142	+
NM_003286.4	GeneID:7150	ENSG00000198900.8	HGNC:11986	TOP1	DNA topoisomerase I	NM_003286.4	NP_003277.1	ENST00000361337.3	ENSP00000354522.2	MANE Select	NC_000020.11	41028822	41124487	+
NM_003376.6	GeneID:7422	ENSG00000112715.26	HGNC:12680	VEGFA	vascular endothelial growth factor A	NM_003376.6	NP_003367.4	ENST00000672860.3	ENSP00000500082.3	MANE Select	NC_000006.12	43770211	43786487	+
NM_003400.4	GeneID:7514	ENSG00000082898.21	HGNC:12825	XPO1	exportin 1	NM_003400.4	NP_003391.1	ENST00000401558.7	ENSP00000384863.2	MANE Select	NC_000002.12	61477849	61538356	-
NM_003466.4	GeneID:7849	ENSG00000125618.20	HGNC:8622	PAX8	paired box 8	NM_003466.4	NP_003457.1	ENST00000429538.8	ENSP00000395498.3	MANE Select	NC_000002.12	113215997	113278921	-
NM_003467.3	GeneID:7852	ENSG00000121966.8	HGNC:2561	CXCR4	C-X-C motif chemokine receptor 4	NM_003467.3	NP_003458.1	ENST00000241393.4	ENSP00000241393.3	MANE Select	NC_000002.12	136114349	136118149	-
NM_003482.4	GeneID:8085	ENSG00000167548.19	HGNC:7133	KMT2D	lysine methyltransferase 2D	NM_003482.4	NP_003473.3	ENST00000301067.12	ENSP00000301067.7	MANE Select	NC_000012.12	49018978	49060794	-
NM_003493.3	GeneID:8290	ENSG00000168148.4	HGNC:4778	H3-4	"H3.4 histone, cluster member"	NM_003493.3	NP_003484.1	ENST00000366696.2	ENSP00000355657.2	MANE Select	NC_000001.11	228424845	228425360	-
NM_003502.4	GeneID:8312	ENSG00000103126.17	HGNC:903	AXIN1	axin 1	NM_003502.4	NP_003493.1	ENST00000262320.8	ENSP00000262320.3	MANE Select	NC_000016.10	287440	352723	-
NM_003529.3	GeneID:8350	ENSG00000275714.3	HGNC:4766	H3C1	H3 clustered histone 1	NM_003529.3	NP_003520.1	ENST00000613854.2	ENSP00000480826.2	MANE Select	NC_000006.12	26020451	26020958	+
NM_003531.3	GeneID:8352	ENSG00000287080.2	HGNC:4768	H3C3	H3 clustered histone 3	NM_003531.3	NP_003522.1	ENST00000612966.3	ENSP00000484658.2	MANE Select	NC_000006.12	26045384	26045869	+
NM_003532.3	GeneID:8353	ENSG00000274750.5	HGNC:4769	H3C6	H3 clustered histone 6	NM_003532.3	NP_003523.1	ENST00000614911.3	ENSP00000482271.1	MANE Select	NC_000006.12	26225135	26225616	+
NM_003533.3	GeneID:8354	ENSG00000275379.2	HGNC:4771	H3C11	H3 clustered histone 11	NM_003533.3	NP_003524.1	ENST00000616365.2	ENSP00000483283.2	MANE Select	NC_000006.12	27871845	27872346	-
NM_003534.3	GeneID:8355	ENSG00000273983.2	HGNC:4772	H3C8	H3 clustered histone 8	NM_003534.3	NP_003525.1	ENST00000614378.2	ENSP00000484638.1	MANE Select	NC_000006.12	26270918	26271413	-
NM_003535.3	GeneID:8356	ENSG00000197153.5	HGNC:4774	H3C12	H3 clustered histone 12	NM_003535.3	NP_003526.1	ENST00000359303.4	ENSP00000352252.3	MANE Select	NC_000006.12	27890315	27890826	-
NM_003536.3	GeneID:8357	ENSG00000278828.2	HGNC:4775	H3C10	H3 clustered histone 10	NM_003536.3	NP_003527.1	ENST00000685041.1	ENSP00000509120.1	MANE Select	NC_000006.12	27810051	27810536	+
NM_003537.4	GeneID:8358	ENSG00000286522.3	HGNC:4776	H3C2	H3 clustered histone 2	NM_003537.4	NP_003528.1	ENST00000621411.3	ENSP00000484841.2	MANE Select	NC_000006.12	26031589	26032099	-
NM_003579.4	GeneID:8438	ENSG00000085999.15	HGNC:9826	RAD54L	RAD54 like	NM_003579.4	NP_003570.2	ENST00000371975.9	ENSP00000361043.4	MANE Select	NC_000001.11	46247763	46278473	+
NM_003590.5	GeneID:8452	ENSG00000036257.16	HGNC:2553	CUL3	cullin 3	NM_003590.5	NP_003581.1	ENST00000264414.9	ENSP00000264414.4	MANE Select	NC_000002.12	224470150	224585363	-
NM_003620.4	GeneID:8493	ENSG00000170836.15	HGNC:9277	PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	NM_003620.4	NP_003611.1	ENST00000305921.8	ENSP00000306682.2	MANE Select	NC_000017.11	60600193	60666280	+
NM_003629.4	GeneID:8503	ENSG00000117461.17	HGNC:8981	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	NM_003629.4	NP_003620.3	ENST00000262741.10	ENSP00000262741.5	MANE Select	NC_000001.11	46040140	46132629	-
NM_003745.2	GeneID:8651	ENSG00000185338.9	HGNC:19383	SOCS1	suppressor of cytokine signaling 1	NM_003745.2	NP_003736.1	ENST00000332029.4	ENSP00000329418.2	MANE Select	NC_000016.10	11254417	11256204	-
NM_003749.3	GeneID:8660	ENSG00000185950.10	HGNC:6126	IRS2	insulin receptor substrate 2	NM_003749.3	NP_003740.2	ENST00000375856.5	ENSP00000365016.3	MANE Select	NC_000013.11	109752695	109786583	-
NM_003797.5	GeneID:8726	ENSG00000074266.25	HGNC:3188	EED	embryonic ectoderm development	NM_003797.5	NP_003788.2	ENST00000263360.11	ENSP00000263360.6	MANE Select	NC_000011.10	86244753	86278810	+
NM_003820.4	GeneID:8764	ENSG00000157873.20	HGNC:11912	TNFRSF14	TNF receptor superfamily member 14	NM_003820.4	NP_003811.2	ENST00000355716.5	ENSP00000347948.4	MANE Select	NC_000001.11	2556371	2563829	+
NM_003902.5	GeneID:8880	ENSG00000162613.20	HGNC:4004	FUBP1	far upstream element binding protein 1	NM_003902.5	NP_003893.2	ENST00000370768.7	ENSP00000359804.2	MANE Select	NC_000001.11	77944055	77979072	-
NM_003921.5	GeneID:8915	ENSG00000142867.16	HGNC:989	BCL10	BCL10 immune signaling adaptor	NM_003921.5	NP_003912.1	ENST00000648566.1	ENSP00000498104.1	MANE Select	NC_000001.11	85265776	85276632	-
NM_003924.4	GeneID:8929	ENSG00000109132.8	HGNC:9143	PHOX2B	paired like homeobox 2B	NM_003924.4	NP_003915.2	ENST00000226382.4	ENSP00000226382.2	MANE Select	NC_000004.12	41744082	41748725	-
NM_003942.3	GeneID:8986	ENSG00000162302.15	HGNC:10433	RPS6KA4	ribosomal protein S6 kinase A4	NM_003942.3	NP_003933.1	ENST00000334205.9	ENSP00000333896.4	MANE Select	NC_000011.10	64359162	64372215	+
NM_003952.3	GeneID:6199	ENSG00000175634.17	HGNC:10437	RPS6KB2	ribosomal protein S6 kinase B2	NM_003952.3	NP_003943.2	ENST00000312629.10	ENSP00000308413.5	MANE Select	NC_000011.10	67428494	67435401	+
NM_003954.5	GeneID:9020	ENSG00000006062.20	HGNC:6853	MAP3K14	mitogen-activated protein kinase kinase kinase 14	NM_003954.5	NP_003945.2	ENST00000344686.8	ENSP00000478552.1	MANE Select	NC_000017.11	45263119	45317020	-
NM_004048.4	GeneID:567	ENSG00000166710.25	HGNC:914	B2M	beta-2-microglobulin	NM_004048.4	NP_004039.1	ENST00000648006.3	ENSP00000497910.1	MANE Select	NC_000015.10	44711517	44718145	+
NM_004050.5	GeneID:599	ENSG00000129473.13	HGNC:995	BCL2L2	BCL2 like 2	NM_004050.5	NP_004041.2	ENST00000250405.10	ENSP00000250405.6	MANE Select	NC_000014.9	23306833	23311751	+
NM_004064.5	GeneID:1027	ENSG00000111276.14	HGNC:1785	CDKN1B	cyclin dependent kinase inhibitor 1B	NM_004064.5	NP_004055.1	ENST00000228872.9	ENSP00000228872.4	MANE Select	NC_000012.12	12717368	12722369	+
NM_004115.4	GeneID:2259	ENSG00000102466.17	HGNC:3671	FGF14	fibroblast growth factor 14	NM_004115.4	NP_004106.1	ENST00000376143.5	ENSP00000365313.4	MANE Select	NC_000013.11	101710804	101916945	-
NM_004119.3	GeneID:2322	ENSG00000122025.17	HGNC:3765	FLT3	fms related receptor tyrosine kinase 3	NM_004119.3	NP_004110.2	ENST00000241453.12	ENSP00000241453.7	MANE Select	NC_000013.11	28003274	28100576	-
NM_004168.4	GeneID:6389	ENSG00000073578.20	HGNC:10680	SDHA	succinate dehydrogenase complex flavoprotein subunit A	NM_004168.4	NP_004159.2	ENST00000264932.11	ENSP00000264932.6	MANE Select	NC_000005.10	218320	257082	+
NM_004187.5	GeneID:8242	ENSG00000126012.16	HGNC:11114	KDM5C	lysine demethylase 5C	NM_004187.5	NP_004178.2	ENST00000375401.8	ENSP00000364550.4	MANE Select	NC_000023.11	53192158	53225207	-
NM_004217.4	GeneID:9212	ENSG00000178999.15	HGNC:11390	AURKB	aurora kinase B	NM_004217.4	NP_004208.2	ENST00000585124.6	ENSP00000463999.1	MANE Select	NC_000017.11	8204734	8210575	-
NM_004235.6	GeneID:9314	ENSG00000136826.17	HGNC:6348	KLF4	KLF transcription factor 4	NM_004235.6	NP_004226.3	ENST00000374672.5	ENSP00000363804.4	MANE Select	NC_000009.12	107484852	107489769	-
NM_004260.4	GeneID:9401	ENSG00000160957.17	HGNC:9949	RECQL4	RecQ like helicase 4	NM_004260.4	NP_004251.4	ENST00000617875.6	ENSP00000482313.2	MANE Select	NC_000008.11	144511288	144517833	-
NM_004302.5	GeneID:91	ENSG00000135503.15	HGNC:172	ACVR1B	activin A receptor type 1B	NM_004302.5	NP_004293.1	ENST00000257963.9	ENSP00000257963.4	MANE Select	NC_000012.12	51951699	51997078	+
NM_004304.5	GeneID:238	ENSG00000171094.19	HGNC:427	ALK	ALK receptor tyrosine kinase	NM_004304.5	NP_004295.2	ENST00000389048.8	ENSP00000373700.3	MANE Select	NC_000002.12	29192774	29921586	-
NM_004327.4	GeneID:613	ENSG00000186716.23	HGNC:1014	BCR	BCR activator of RhoGEF and GTPase	NM_004327.4	NP_004318.3	ENST00000305877.13	ENSP00000303507.8	MANE Select	NC_000022.11	23180509	23318037	+
NM_004329.3	GeneID:657	ENSG00000107779.18	HGNC:1076	BMPR1A	bone morphogenetic protein receptor type 1A	NM_004329.3	NP_004320.2	ENST00000372037.8	ENSP00000361107.2	MANE Select	NC_000010.11	86756619	86927969	+
NM_004333.6	GeneID:673	ENSG00000157764.16	HGNC:1097	BRAF	"B-Raf proto-oncogene, serine/threonine kinase"	NM_004333.6	NP_004324.2	ENST00000646891.2	ENSP00000493543.1	MANE Select	NC_000007.14	140730665	140924929	-
NM_004343.4	GeneID:811	ENSG00000179218.17	HGNC:1455	CALR	calreticulin	NM_004343.4	NP_004334.1	ENST00000316448.10	ENSP00000320866.4	MANE Select	NC_000019.10	12938609	12944489	+
NM_004360.5	GeneID:999	ENSG00000039068.22	HGNC:1748	CDH1	cadherin 1	NM_004360.5	NP_004351.1	ENST00000261769.10	ENSP00000261769.4	MANE Select	NC_000016.10	68737292	68835537	+
NM_004364.5	GeneID:1050	ENSG00000245848.3	HGNC:1833	CEBPA	CCAAT enhancer binding protein alpha	NM_004364.5	NP_004355.2	ENST00000498907.3	ENSP00000427514.1	MANE Select	NC_000019.10	33299934	33302534	-
NM_004380.3	GeneID:1387	ENSG00000005339.16	HGNC:2348	CREBBP	CREB binding lysine acetyltransferase	NM_004380.3	NP_004371.2	ENST00000262367.10	ENSP00000262367.5	MANE Select	NC_000016.10	3725054	3880713	-
NM_004440.4	GeneID:2045	ENSG00000135333.17	HGNC:3390	EPHA7	EPH receptor A7	NM_004440.4	NP_004431.1	ENST00000369303.9	ENSP00000358309.4	MANE Select	NC_000006.12	93240020	93419559	-
NM_004441.5	GeneID:2047	ENSG00000154928.21	HGNC:3392	EPHB1	EPH receptor B1	NM_004441.5	NP_004432.1	ENST00000398015.8	ENSP00000381097.3	MANE Select	NC_000003.12	134795260	135260467	+
NM_004448.4	GeneID:2064	ENSG00000141736.16	HGNC:3430	ERBB2	erb-b2 receptor tyrosine kinase 2	NM_004448.4	NP_004439.2	ENST00000269571.10	ENSP00000269571.4	MANE Select	NC_000017.11	39700064	39728658	+
NM_004454.3	GeneID:2119	ENSG00000244405.10	HGNC:3494	ETV5	ETS variant transcription factor 5	NM_004454.3	NP_004445.1	ENST00000306376.10	ENSP00000306894.5	MANE Select	NC_000003.12	186046314	186109089	-
NM_004456.5	GeneID:2146	ENSG00000106462.14	HGNC:3527	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	NM_004456.5	NP_004447.2	ENST00000320356.7	ENSP00000320147.2	MANE Select	NC_000007.14	148807383	148884291	-
NM_004464.4	GeneID:2250	ENSG00000138675.18	HGNC:3683	FGF5	fibroblast growth factor 5	NM_004464.4	NP_004455.2	ENST00000312465.12	ENSP00000311697.7	MANE Select	NC_000004.12	80266664	80291017	+
NM_004465.2	GeneID:2255	ENSG00000070193.7	HGNC:3666	FGF10	fibroblast growth factor 10	NM_004465.2	NP_004456.1	ENST00000264664.5	ENSP00000264664.4	MANE Select	NC_000005.10	44300247	44389420	-
NM_004489.5	GeneID:2874	ENSG00000132522.18	HGNC:4550	GPS2	G protein pathway suppressor 2	NM_004489.5	NP_004480.1	ENST00000380728.7	ENSP00000370104.2	MANE Select	NC_000017.11	7312661	7315360	-
NM_004496.5	GeneID:3169	ENSG00000129514.9	HGNC:5021	FOXA1	forkhead box A1	NM_004496.5	NP_004487.2	ENST00000250448.5	ENSP00000250448.3	MANE Select	NC_000014.9	37589552	37595249	-
NM_004521.3	GeneID:3799	ENSG00000170759.13	HGNC:6324	KIF5B	kinesin family member 5B	NM_004521.3	NP_004512.1	ENST00000302418.5	ENSP00000307078.4	MANE Select	NC_000010.11	32009015	32056425	-
NM_004529.4	GeneID:4300	ENSG00000171843.18	HGNC:7136	MLLT3	MLLT3 super elongation complex subunit	NM_004529.4	NP_004520.2	ENST00000380338.9	ENSP00000369695.4	MANE Select	NC_000009.12	20341669	20622499	-
NM_004557.4	GeneID:4855	ENSG00000204301.8	HGNC:7884	NOTCH4	notch receptor 4	NM_004557.4	NP_004548.3	ENST00000375023.3	ENSP00000364163.3	MANE Select	NC_000006.12	32194843	32224067	-
NM_004562.3	GeneID:5071	ENSG00000185345.26	HGNC:8607	PRKN	parkin RBR E3 ubiquitin protein ligase	NM_004562.3	NP_004553.2	ENST00000366898.6	ENSP00000355865.1	MANE Select	NC_000006.12	161347417	162727766	-
NM_004606.5	GeneID:6872	ENSG00000147133.20	HGNC:11535	TAF1	TATA-box binding protein associated factor 1	NM_004606.5	NP_004597.3	ENST00000423759.6	ENSP00000406549.2	MANE Select	NC_000023.11	71366357	71466005	+
NM_004612.4	GeneID:7046	ENSG00000106799.17	HGNC:11772	TGFBR1	transforming growth factor beta receptor 1	NM_004612.4	NP_004603.1	ENST00000374994.9	ENSP00000364133.4	MANE Select	NC_000009.12	99105113	99154192	+
NM_004629.2	GeneID:2189	ENSG00000221829.13	HGNC:3588	FANCG	FA complementation group G	NM_004629.2	NP_004620.1	ENST00000378643.8	ENSP00000367910.4	MANE Select	NC_000009.12	35073839	35079942	-
NM_004655.4	GeneID:8313	ENSG00000168646.16	HGNC:904	AXIN2	axin 2	NM_004655.4	NP_004646.3	ENST00000307078.10	ENSP00000302625.5	MANE Select	NC_000017.11	65528563	65561648	-
NM_004656.4	GeneID:8314	ENSG00000163930.11	HGNC:950	BAP1	BRCA1 associated deubiquitinase 1	NM_004656.4	NP_004647.1	ENST00000460680.6	ENSP00000417132.1	MANE Select	NC_000003.12	52401008	52410008	-
NM_004690.4	GeneID:9113	ENSG00000131023.15	HGNC:6514	LATS1	large tumor suppressor kinase 1	NM_004690.4	NP_004681.1	ENST00000543571.6	ENSP00000437550.1	MANE Select	NC_000006.12	149658153	149718101	-
NM_004721.5	GeneID:9175	ENSG00000073803.16	HGNC:6852	MAP3K13	mitogen-activated protein kinase kinase kinase 13	NM_004721.5	NP_004712.1	ENST00000265026.8	ENSP00000265026.3	MANE Select	NC_000003.12	185363136	185489094	+
NM_004787.4	GeneID:9353	ENSG00000145147.22	HGNC:11086	SLIT2	slit guidance ligand 2	NM_004787.4	NP_004778.1	ENST00000504154.6	ENSP00000422591.1	MANE Select	NC_000004.12	20251905	20620561	+
NM_004936.4	GeneID:1030	ENSG00000147883.14	HGNC:1788	CDKN2B	cyclin dependent kinase inhibitor 2B	NM_004936.4	NP_004927.2	ENST00000276925.7	ENSP00000276925.6	MANE Select	NC_000009.12	22002903	22009305	-
NM_004956.5	GeneID:2115	ENSG00000006468.17	HGNC:3490	ETV1	ETS variant transcription factor 1	NM_004956.5	NP_004947.2	ENST00000430479.6	ENSP00000405327.1	MANE Select	NC_000007.14	13891229	13989666	-
NM_004958.4	GeneID:2475	ENSG00000198793.16	HGNC:3942	MTOR	mechanistic target of rapamycin kinase	NM_004958.4	NP_004949.1	ENST00000361445.9	ENSP00000354558.4	MANE Select	NC_000001.11	11106535	11262551	-
NM_004972.4	GeneID:3717	ENSG00000096968.16	HGNC:6192	JAK2	Janus kinase 2	NM_004972.4	NP_004963.1	ENST00000381652.4	ENSP00000371067.4	MANE Select	NC_000009.12	4985272	5129948	+
NM_004985.5	GeneID:3845	ENSG00000133703.16	HGNC:6407	KRAS	"KRAS proto-oncogene, GTPase"	NM_004985.5	NP_004976.2	ENST00000311936.8	ENSP00000308495.3	MANE Select	NC_000012.12	25205246	25250929	-
NM_005018.3	GeneID:5133	ENSG00000188389.14	HGNC:8760	PDCD1	programmed cell death 1	NM_005018.3	NP_005009.2	ENST00000334409.10	ENSP00000335062.5	MANE Select	NC_000002.12	241849884	241858894	-
NM_005026.5	GeneID:5293	ENSG00000171608.20	HGNC:8977	PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	NM_005026.5	NP_005017.3	ENST00000377346.9	ENSP00000366563.4	MANE Select	NC_000001.11	9651731	9729114	+
NM_005027.4	GeneID:5296	ENSG00000105647.22	HGNC:8980	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2	NM_005027.4	NP_005018.2	ENST00000222254.13	ENSP00000222254.6	MANE Select	NC_000019.10	18153163	18170532	+
NM_005089.4	GeneID:8233	ENSG00000169249.16	HGNC:23019	ZRSR2	"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"	NM_005089.4	NP_005080.1	ENST00000307771.8	ENSP00000303015.7	MANE Select	NC_000023.11	15790484	15823260	+
NM_005117.3	GeneID:9965	ENSG00000162344.6	HGNC:3675	FGF19	fibroblast growth factor 19	NM_005117.3	NP_005108.1	ENST00000294312.4	ENSP00000294312.3	MANE Select	NC_000011.10	69698238	69704022	-
NM_005120.3	GeneID:9968	ENSG00000184634.19	HGNC:11957	MED12	mediator complex subunit 12	NM_005120.3	NP_005111.2	ENST00000374080.8	ENSP00000363193.3	MANE Select	NC_000023.11	71118596	71142450	+
NM_005157.6	GeneID:25	ENSG00000097007.22	HGNC:76	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	NM_005157.6	NP_005148.2	ENST00000318560.6	ENSP00000323315.5	MANE Select	NC_000009.12	130835254	130887675	+
NM_005188.4	GeneID:867	ENSG00000110395.9	HGNC:1541	CBL	Cbl proto-oncogene	NM_005188.4	NP_005179.2	ENST00000264033.6	ENSP00000264033.3	MANE Select	NC_000011.10	119206339	119308149	+
NM_005207.4	GeneID:1399	ENSG00000099942.15	HGNC:2363	CRKL	"CRK like proto-oncogene, adaptor protein"	NM_005207.4	NP_005198.1	ENST00000354336.8	ENSP00000346300.3	MANE Select	NC_000022.11	20917407	20953747	+
NM_005214.5	GeneID:1493	ENSG00000163599.18	HGNC:2505	CTLA4	cytotoxic T-lymphocyte associated protein 4	NM_005214.5	NP_005205.2	ENST00000648405.2	ENSP00000497102.1	MANE Select	NC_000002.12	203867771	203873965	+
NM_005228.5	GeneID:1956	ENSG00000146648.23	HGNC:3236	EGFR	epidermal growth factor receptor	NM_005228.5	NP_005219.2	ENST00000275493.7	ENSP00000275493.2	MANE Select	NC_000007.14	55019017	55211628	+
NM_005233.6	GeneID:2042	ENSG00000044524.13	HGNC:3387	EPHA3	EPH receptor A3	NM_005233.6	NP_005224.2	ENST00000336596.7	ENSP00000337451.2	MANE Select	NC_000003.12	89107621	89482134	+
NM_005235.3	GeneID:2066	ENSG00000178568.17	HGNC:3432	ERBB4	erb-b2 receptor tyrosine kinase 4	NM_005235.3	NP_005226.1	ENST00000342788.9	ENSP00000342235.4	MANE Select	NC_000002.12	211375717	212538802	-
NM_005236.3	GeneID:2072	ENSG00000175595.17	HGNC:3436	ERCC4	"ERCC excision repair 4, endonuclease catalytic subunit"	NM_005236.3	NP_005227.1	ENST00000311895.8	ENSP00000310520.7	MANE Select	NC_000016.10	13920154	13952348	+
NM_005243.4	GeneID:2130	ENSG00000182944.20	HGNC:3508	EWSR1	EWS RNA binding protein 1	NM_005243.4	NP_005234.1	ENST00000397938.7	ENSP00000381031.2	MANE Select	NC_000022.11	29268268	29300521	+
NM_005245.4	GeneID:2195	ENSG00000083857.17	HGNC:3595	FAT1	FAT atypical cadherin 1	NM_005245.4	NP_005236.2	ENST00000441802.7	ENSP00000406229.2	MANE Select	NC_000004.12	186587794	186723856	-
NM_005247.4	GeneID:2248	ENSG00000186895.4	HGNC:3681	FGF3	fibroblast growth factor 3	NM_005247.4	NP_005238.1	ENST00000334134.4	ENSP00000334122.2	MANE Select	NC_000011.10	69809968	69819416	-
NM_005257.6	GeneID:2627	ENSG00000141448.13	HGNC:4174	GATA6	GATA binding protein 6	NM_005257.6	NP_005248.2	ENST00000269216.10	ENSP00000269216.3	MANE Select	NC_000018.10	22169589	22202528	+
NM_005269.3	GeneID:2735	ENSG00000111087.12	HGNC:4317	GLI1	GLI family zinc finger 1	NM_005269.3	NP_005260.1	ENST00000228682.7	ENSP00000228682.2	MANE Select	NC_000012.12	57459785	57472268	+
NM_005319.4	GeneID:3006	ENSG00000187837.5	HGNC:4716	H1-2	"H1.2 linker histone, cluster member"	NM_005319.4	NP_005310.1	ENST00000343677.4	ENSP00000339566.3	MANE Select	NC_000006.12	26055740	26056470	-
NM_005324.5	GeneID:3021	ENSG00000132475.12	HGNC:4765	H3-3B	H3.3 histone B	NM_005324.5	NP_005315.1	ENST00000254810.8	ENSP00000254810.3	MANE Select	NC_000017.11	75776434	75779779	-
NM_005348.4	GeneID:3320	ENSG00000080824.21	HGNC:5253	HSP90AA1	heat shock protein 90 alpha family class A member 1	NM_005348.4	NP_005339.3	ENST00000216281.13	ENSP00000216281.8	MANE Select	NC_000014.9	102080742	102087044	-
NM_005359.6	GeneID:4089	ENSG00000141646.19	HGNC:6770	SMAD4	SMAD family member 4	NM_005359.6	NP_005350.1	ENST00000342988.8	ENSP00000341551.3	MANE Select	NC_000018.10	51030213	51085042	+
NM_005373.3	GeneID:4352	ENSG00000117400.19	HGNC:7217	MPL	"MPL proto-oncogene, thrombopoietin receptor"	NM_005373.3	NP_005364.1	ENST00000372470.9	ENSP00000361548.3	MANE Select	NC_000001.11	43337818	43354466	+
NM_005378.6	GeneID:4613	ENSG00000134323.15	HGNC:7559	MYCN	"MYCN proto-oncogene, bHLH transcription factor"	NM_005378.6	NP_005369.2	ENST00000281043.4	ENSP00000281043.3	MANE Select	NC_000002.12	15940550	15947004	+
NM_005431.2	GeneID:7516	ENSG00000196584.5	HGNC:12829	XRCC2	X-ray repair cross complementing 2	NM_005431.2	NP_005422.1	ENST00000359321.2	ENSP00000352271.1	MANE Select	NC_000007.14	152644776	152676141	-
NM_005433.4	GeneID:7525	ENSG00000176105.16	HGNC:12841	YES1	"YES proto-oncogene 1, Src family tyrosine kinase"	NM_005433.4	NP_005424.1	ENST00000314574.5	ENSP00000324740.4	MANE Select	NC_000018.10	721588	812242	-
NM_005445.4	GeneID:9126	ENSG00000108055.13	HGNC:2468	SMC3	structural maintenance of chromosomes 3	NM_005445.4	NP_005436.1	ENST00000361804.5	ENSP00000354720.5	MANE Select	NC_000010.11	110567695	110606048	+
NM_005460.4	GeneID:9627	ENSG00000064692.22	HGNC:11139	SNCAIP	synuclein alpha interacting protein	NM_005460.4	NP_005451.2	ENST00000261368.13	ENSP00000261368.8	MANE Select	NC_000005.10	122312237	122464219	+
NM_005465.7	GeneID:10000	ENSG00000117020.20	HGNC:393	AKT3	AKT serine/threonine kinase 3	NM_005465.7	NP_005456.1	ENST00000673466.1	ENSP00000500582.1	MANE Select	NC_000001.11	243499724	243850243	-
NM_005475.3	GeneID:10019	ENSG00000111252.13	HGNC:29605	SH2B3	SH2B adaptor protein 3	NM_005475.3	NP_005466.1	ENST00000341259.7	ENSP00000345492.2	MANE Select	NC_000012.12	111405923	111451623	+
NM_005544.3	GeneID:3667	ENSG00000169047.8	HGNC:6125	IRS1	insulin receptor substrate 1	NM_005544.3	NP_005535.1	ENST00000305123.6	ENSP00000304895.4	MANE Select	NC_000002.12	226731312	226799820	-
NM_005561.4	GeneID:3916	ENSG00000185896.13	HGNC:6499	LAMP1	lysosomal associated membrane protein 1	NM_005561.4	NP_005552.3	ENST00000332556.5	ENSP00000333298.4	MANE Select	NC_000013.11	113297239	113323672	+
NM_005591.4	GeneID:4361	ENSG00000020922.15	HGNC:7230	MRE11	MRE11 double strand break repair nuclease	NM_005591.4	NP_005582.1	ENST00000323929.8	ENSP00000325863.4	MANE Select	NC_000011.10	94415570	94493844	-
